"","Blue Spring","Crystal River ","De Leon","Manatee Springs","Silver Glen","Silver","Warm Mineral","Weeki Wachee ","C-54","Berkeley","Harbor Branch"
"0%",181.630559768509,6258.1563884676,107.400840799476,0,283.171863459366,4.71719184350052,23.4073801141528,9102.67818184605,73.5235453953388,152.108626239412,99.7042379064124
"10%",413.167614045203,12978.5789128711,222.991051891812,0,585.881789114132,9.66192799351328,81.1107017807798,19850.5668913523,147.593313634863,297.690950470277,191.026009937426
"20%",480.685174784759,15131.8165622623,259.717207243425,0,682.130628012592,11.2112946176417,98.9069291488977,23164.7357801596,171.652681032223,345.841743334695,222.237895090721
"30%",538.226095238642,16935.4794457135,290.474777671779,0,762.340208748811,12.5403147139371,114.152400093913,25963.2805010466,191.204601403967,386.424872730471,247.947803857531
"40%",593.056520836925,18638.9571805331,319.75916052935,0,840.294107417624,13.7836459456523,128.434033131414,28614.966964035,210.072389665056,424.346733765188,272.480252482544
"50%",647.86181644666,20385.3578312082,349.454504825478,0,918.503146625578,15.0631846097709,143.269359364655,31305.0971611627,229.184834887715,462.953413502032,297.170675948301
"60%",708.518393559291,22305.258540856,382.098241117267,0,1004.80051443192,16.4671925132586,159.362645455676,34272.0898624829,250.145726582961,505.263104610243,324.261361401105
"70%",778.671082026056,24532.7975907044,420.336068246428,0,1102.76038524478,18.0646144495994,178.37217771349,37698.3064241134,274.284731802571,553.812543044265,355.483697688023
"80%",867.212557889985,27371.7917669169,467.916578532475,0,1228.94331270298,20.0921009411485,203.210896988548,42104.765767663,305.082299808114,615.644714703582,395.278901673172
"90%",1001.79167634823,31637.7578727363,540.281018664063,0,1420.2857784356,23.1769416736383,241.280722362589,48780.7343467536,351.534740194942,709.616943927919,454.861844736327
"100%",1986.24459396403,61969.11338913,1167.86850852443,0,2852.02640568472,49.8798759701486,593.718321530443,104721.110445472,708.459103233514,1376.31327381743,897.298941617563
