"","Blue Spring","Crystal River ","De Leon","Manatee Springs","Silver Glen","Silver","Warm Mineral","Weeki Wachee ","C-54","Berkeley","Harbor Branch"
"0%",227.319391759755,8069.98754247004,221.538888442173,59.8305306493473,3238.93359995141,11277.2227536738,75.3295378149612,304.388795653046,3488.63272023944,710.390250642281,9865.35447588278
"10%",338.348864333806,10942.4477081628,640.371660253524,148.158292945863,4248.30845822349,22059.6657703792,181.316291012819,1084.06267574546,8267.41726692318,999.382129803629,13875.3868763849
"20%",380.119208984311,11900.5857825206,830.70818420274,176.192840451177,4637.51400976623,24865.309482879,215.92601096709,1334.35625949504,10186.368837284,1114.6766965937,15212.9762178957
"30%",416.173702361199,12738.5313764825,1021.5128137132,199.428979178633,4978.36765209448,27208.705849664,245.990954668982,1539.53965061005,11935.7375136572,1216.21848145718,16356.1483505466
"40%",450.572978674183,13511.3730587207,1223.89222208629,220.857414933963,5300.1523652734,29397.5453472606,274.854482133746,1734.64890650768,13755.3453828051,1312.5169803366,17449.4693523571
"50%",484.480029982903,14294.7662349371,1446.63603896942,242.776697124959,5617.52689382773,31624.7397420571,304.16571371919,1935.16612374608,15750.4176113568,1406.80654353573,18515.726910229
"60%",519.348700363748,15082.8591420843,1694.48982343959,266.439436022858,5940.67989283593,33973.0163029146,337.083628517314,2148.72576805882,17937.4960417214,1503.17636497406,19612.0143889726
"70%",557.705416910499,15976.142045846,1989.96018494332,292.809990496579,6292.93434421822,36627.6721243147,373.809670323868,2394.80182562809,20487.4377425179,1608.94563694723,20834.81643273
"80%",604.993742415274,17038.9913551808,2346.90383545754,325.654675447393,6733.81878950376,39907.2889692882,420.83841397729,2690.42449358846,23666.0584201226,1739.06572243136,22342.5250158912
"90%",674.630113952799,18678.9627384175,2880.06197955764,375.198749141091,7392.3280038674,44891.2792791307,490.308300338275,3135.12996181681,28352.505198197,1936.82308417755,24580.6823377637
"100%",1042.27869769341,26998.9593484275,6781.05952812597,708.164239818142,10741.1115377238,80250.7719756672,1049.78619335999,6127.39558591798,57778.1405615581,2857.52112340826,37509.8755662403
