Site,lmin,lpeak,lmax,width,dmin,dpeak,dmax,Perimeter,Area, SAVarea ,SAVmin,SAVpeak,SAVmax,flag
Blue Spring,95,107,118,20,0,0,0,NA,2306,7851962,0.8,1,1.2,1
Crystal River ,NA,NA,NA,NA,0.24,0.3,0.36,3213,70737,247331321,0.78,1,1.22,2
De Leon,30,60,344,50,0.1,0.2,0.3,NA,8591,4238071,0.8,1,1.2,3
Manatee Springs,25,65,95,20,0.05,0.1,0.2,NA,4989,0,1,1,1,3
Silver Glen,NA,NA,NA,NA,0.03,0.05,0.1,1644,21597,11131302,0.8,1,1.2,2
Silver,6000,7000,8000,30,0.2,0.4,0.6,NA,245339,182302,0.85,1,1.15,3
Warm Mineral,250,300,350,13.7,0.4,0.6,0.8,NA,2669,1771351,0.4,1,1.6,3
Weeki Wachee ,2000,8000,9350,15.2,0.88,0.9,0.92,NA,17800,380299800,0.75,1,1.25,3
C-54,300,600,2200,60,0.02,0.03,0.05,NA,159307,2772468,0.9,1,1.1,3
Berkeley,280,290,300,22,0.03,0.05,0.1,NA,6769,5597311,0.9,1,1.1,3
Harbor Branch,NA,NA,NA,NA,0.1,0.2,0.3,3500,84597,3591844,0.9,1,1.1,4
